ID,Title,Company,Location,Type,Category,Skills,Description,Created At
69c43ee241e401fbb886f1db,"Senior Frontend Developer","Tech Giant Indonesia","Jakarta Selatan","Penuh Waktu","Engineering","React; JavaScript; TypeScript; Redux; Webpack","Kami mencari Senior Frontend Developer berpengalaman untuk memimpin pengembangan antarmuka pengguna platform e-commerce utama kami. Kamu akan bertanggung jawab merancang dan mengimplementasikan komponen UI yang kompleks menggunakan React dan Redux. Kandidat ideal memiliki pemahaman mendalam tentang optimasi performa web, aksesibilitas, dan pengalaman dengan sistem desain skala besar. Kamu akan berkolaborasi erat dengan tim desain, backend, dan produk untuk menghadirkan pengalaman belanja online yang mulus.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1dc,"Backend Golang Engineer","Fintech Startup","Jakarta Pusat","Penuh Waktu","Engineering","Golang; Microservices; PostgreSQL; Docker; gRPC","Posisi ini berfokus pada pembangunan payment gateway berkinerja tinggi menggunakan bahasa pemrograman Go. Kamu akan mendesain dan mengimplementasikan layanan mikro (microservices) yang andal dan skalabel menggunakan arsitektur gRPC. Tanggung jawab utama meliputi penulisan kode Go yang bersih dan efisien, pembuatan unit test dan integration test, serta optimasi query database PostgreSQL. Pengalaman di bidang fintech atau payment processing adalah nilai tambah yang sangat besar.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1dd,"DevOps Engineer","Cloud Solutions","Remote","Penuh Waktu","Engineering","AWS; Terraform; Kubernetes; Jenkins; Linux","Sebagai DevOps Engineer, kamu akan mengelola dan mengoptimalkan infrastruktur cloud berbasis AWS yang mendukung ratusan ribu pengguna. Pekerjaan ini meliputi pembuatan dan pemeliharaan pipeline CI/CD menggunakan Jenkins atau GitLab CI, manajemen kluster Kubernetes, dan otomasi infrastruktur dengan Terraform. Kamu akan menjadi jembatan antara tim development dan operasional, memastikan deployment yang cepat, aman, dan dapat diandalkan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1de,"Full Stack Developer (MERN)","Digital Agency","Bandung","Penuh Waktu","Engineering","MongoDB; Express; React; Node.js; REST API","Kami membutuhkan Full Stack Developer yang mahir dengan teknologi MERN untuk mengembangkan berbagai proyek klien dan tools internal. Kamu akan terlibat dari proses perancangan database MongoDB, pembuatan REST API dengan Express dan Node.js, hingga pengembangan tampilan frontend dengan React. Kemampuan untuk bekerja secara mandiri, memahami kebutuhan bisnis klien, dan menerjemahkannya menjadi solusi teknis yang tepat sangat diperlukan di peran ini.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1df,"Mobile Developer (Flutter)","App Studio","Yogyakarta","Penuh Waktu","Engineering","Flutter; Dart; Firebase; Android; iOS","Bergabunglah dengan tim kami untuk membangun aplikasi mobile cross-platform yang diunduh jutaan kali menggunakan Flutter. Kamu akan bertanggung jawab atas seluruh siklus pengembangan aplikasi, mulai dari penulisan kode Dart, integrasi dengan layanan Firebase (Firestore, Auth, Push Notification), hingga publikasi ke Google Play Store dan Apple App Store. Kandidat yang memiliki portofolio aplikasi Flutter yang sudah publis akan mendapat poin lebih.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e0,"QA Automation Engineer","Software House","Surabaya","Penuh Waktu","Engineering","Selenium; Cypress; Python; Testing; Jenkins","Peran ini bertujuan untuk memastikan kualitas perangkat lunak yang tinggi sebelum dirilis ke pengguna. Kamu akan mendesain framework pengujian otomatis menggunakan Selenium dan Cypress, membuat skrip test yang komprehensif, dan mengintegrasikannya ke dalam pipeline CI/CD Jenkins. Selain itu, kamu juga akan melakukan pengujian manual untuk skenario yang kompleks dan berkolaborasi dengan developer untuk memperbaiki bug yang ditemukan secara efisien.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e1,"Cybersecurity Analyst","SecureNet Systems","Jakarta Pusat","Penuh Waktu","Engineering","Cybersecurity; Network Security; Penetration Testing; Firewall; Incident Response","Kami mencari Cybersecurity Analyst untuk melindungi infrastruktur TI kami dari ancaman siber. Kamu akan melakukan monitoring keamanan, analisis insiden, penetration testing basic, dan memastikan kepatuhan terhadap standar keamanan data. Kandidat harus memahami firewall, IDS/IPS, serta memiliki kemampuan analisis log yang kuat untuk mendeteksi anomali.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e2,"System Architect","Enterprise Corp","Jakarta Selatan","Penuh Waktu","Engineering","System Design; Cloud Computing; Java; SQL; Security","Sebagai System Architect, kamu akan bertanggung jawab atas perancangan arsitektur sistem untuk aplikasi enterprise berskala besar yang digunakan oleh ribuan karyawan. Kamu akan mendefinisikan pola arsitektur, standar teknologi, dan panduan pengembangan untuk seluruh tim engineering. Pengalaman mendalam dengan Java, cloud computing (AWS/GCP/Azure), desain database relasional dan non-relasional, serta keamanan sistem sangat diperlukan untuk menjalankan peran strategis ini.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e3,"Frontend Vue.js Developer","Creative Web","Bali","Penuh Waktu","Engineering","Vue.js; Nuxt.js; JavaScript; CSS; HTML","Kami mencari pengembang frontend yang bersemangat dan kreatif untuk bergabung membangun aplikasi web yang interaktif dan indah menggunakan Vue.js dan Nuxt.js. Kamu akan bekerja sama dengan tim desainer untuk mengubah mockup menjadi antarmuka yang hidup, memastikan performa optimal, dan menjaga konsistensi kode. Pengalaman dengan state management (Vuex/Pinia), CSS framework (Tailwind), dan pemahaman dasar tentang SEO sangat diutamakan.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
69c43ee241e401fbb886f1e4,"Python Backend Developer","AI Labs","Singapore (Remote)","Penuh Waktu","Engineering","Python; Django; FastAPI; PostgreSQL; Redis","Posisi ini difokuskan pada pengembangan API yang melayani model-model kecerdasan buatan kami ke berbagai platform. Kamu akan membangun layanan backend yang cepat dan skalabel menggunakan Django REST Framework dan FastAPI. Selain itu, kamu juga akan terlibat dalam optimasi query PostgreSQL, konfigurasi caching dengan Redis, dan integrasi dengan layanan cloud AWS. Pemahaman tentang konsep machine learning adalah nilai tambah.",Thu Mar 26 2026 03:00:34 GMT+0700 (Western Indonesia Time)
